"","(0: declaration, int array[])","(1: declaration, int count)","(2: declaration, int i)","(3: declaration, sum)","(4: assignment, sum = 0)","(5: assignment, i = 0)","(6: control, i < count)","(7: increment, i++)","(8: call-site, add(sum, array[i]))","(9: assignment, sum =)","(10: return, return sum)"
"(0: declaration, int array[])","0","0","0","0","0","0","0","0","0","0","0"
"(1: declaration, int count)","0","0","0","0","0","0","0","0","0","0","0"
"(2: declaration, int i)","0","0","0","0","0","0","0","0","0","0","0"
"(3: declaration, sum)","0","0","0","0","0","0","0","0","0","0","0"
"(4: assignment, sum = 0)","0","0","0","1","0","0","0","0","0","0","0"
"(5: assignment, i = 0)","0","0","1","0","0","0","0","0","0","0","0"
"(6: control, i < count)","0","1","0","0","0","1","2","0","0","0","0"
"(7: increment, i++)","0","0","0","0","0","1","2","1","0","0","0"
"(8: call-site, add(sum, array[i]))","0","0","0","0","0","0","3","0","0","0","0"
"(9: assignment, sum =)","0","0","0","0","1","0","2","0","0","0","0"
"(10: return, return sum)","0","0","0","0","0","0","0","0","0","1","0"
