"","(0: declaration, int array[])","(1: declaration, int len)","(3: assignment, int i = 0)","(2: declaration, int i = 0)","(5: assignment, int sum = 0)","(4: declaration, int sum = 0)","(6: control, i < len)","(7: call-site, add(sum, array[i]))","(8: assignment, sum =)","(9: increment, i++;)","(10: return, return sum)"
"(0: declaration, int array[])","0","0","0","0","0","0","0","0","0","0","0"
"(1: declaration, int len)","0","0","0","0","0","0","0","0","0","0","0"
"(3: assignment, int i = 0)","0","0","0","0","0","0","0","0","0","0","0"
"(2: declaration, int i = 0)","0","0","1","0","0","0","0","0","0","0","0"
"(5: assignment, int sum = 0)","0","0","0","0","0","0","0","0","0","0","0"
"(4: declaration, int sum = 0)","0","0","0","0","1","0","0","0","0","0","0"
"(6: control, i < len)","0","1","0","1","0","0","0","0","0","0","0"
"(7: call-site, add(sum, array[i]))","0","0","0","0","0","0","3","0","0","0","0"
"(8: assignment, sum =)","0","0","0","0","0","1","2","0","0","0","0"
"(9: increment, i++;)","0","0","0","1","0","0","2","0","0","1","0"
"(10: return, return sum)","0","0","0","0","0","0","0","0","1","0","0"
