"","(0: declaration, int arr[])","(2: assignment, int target = 12)","(1: declaration, int target = 12)","(4: assignment, int max = 0)","(3: declaration, int max = 0)","(5: declaration, int i)","(6: assignment, i = 0)","(7: control, i < arr.length)","(8: increment, i++)","(9: control, arr[i] == target)","(10: return, return 1)","(11: control, arr[i] > max)","(12: assignment, max = arr[i])","(13: control, max != 0)","(14: return, return 0)","(15: return, return 1)"
"(0: declaration, int arr[])","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(2: assignment, int target = 12)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1: declaration, int target = 12)","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(4: assignment, int max = 0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(3: declaration, int max = 0)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"(5: declaration, int i)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(6: assignment, i = 0)","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(7: control, i < arr.length)","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"(8: increment, i++)","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0"
"(9: control, arr[i] == target)","1","0","1","0","0","0","0","2","0","2","0","0","0","0","0","0"
"(10: return, return 1)","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"(11: control, arr[i] > max)","1","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0"
"(12: assignment, max = arr[i])","0","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0"
"(13: control, max != 0)","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"(14: return, return 0)","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"(15: return, return 1)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
